Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
62770,Residential Plot in Anekal,"Anekal, Karnataka",HDFC Bank,"₹49,40,000",17/07/2025
62772,Flat in Anekal,"Anekal, Karnataka",HDFC Bank,"₹37,00,000",17/07/2025
62775,Flat in KR Puram Hobli,"KR Puram Hobli, Bangalore Urba, Karnataka",HDFC Bank,"₹1,34,50,000",17/07/2025
63107,Land and Building in Bankura,"Bankura, West Bengal",Canara Bank,"₹9,93,000",17/07/2025
63106,Land and Building in Burdwan,"Burdwan, Kolkata, West Bengal",Canara Bank,"₹8,79,000",17/07/2025
63105,Land and Building in Purba Bardhaman,"Purba Bardhaman, Kolkata, West Bengal",Canara Bank,"₹29,88,000",17/07/2025
63104,Plot in Purba Bardhaman,"Purba Bardhaman, Kolkata, West Bengal",Canara Bank,"₹9,80,000",17/07/2025
63103,Land and Building in South 24 Paraganas,"South 24 Parganas, West Bengal",Canara Bank,"₹14,00,000",17/07/2025
63102,Land and Building in South 24 Paraganas,"South 24 Parganas, West Bengal",Canara Bank,"₹42,50,000",17/07/2025
63101,Land and Building in South 24 Paraganas,"South 24 Parganas, West Bengal",Canara Bank,"₹14,50,000",17/07/2025
63036,Land in Kengeri Hobli,"Kengeri Hobli, Bangalore Urba, Karnataka",Ujjivan small finance bank,"₹35,46,000",17/07/2025
62456,"House in Pennalur, Kanchipuram","Kanchipuram, Tamil Nadu",Canara Bank,"₹15,59,000",17/07/2025
62767,Flat in Hesaragatta,"Hesaragatta, Bangalore Urba, Karnataka",HDFC Bank,"₹28,05,000",17/07/2025
62765,Flat in Anekal,"Anekal, Karnataka",HDFC Bank,"₹65,00,000",17/07/2025
62764,Flat in Anekal,"Anekal, Karnataka",HDFC Bank,"₹1,09,24,000",17/07/2025
62762,Residential Plot in Tavarekere,"Tavarekere, Bangalore Urba, Karnataka",HDFC Bank,"₹25,00,000",17/07/2025
62760,Residential Flat in Anekal,"Anekal, Karnataka",HDFC Bank,"₹40,00,000",17/07/2025
62758,Residential Flat in Nagarbhavi,"Nagarbhavi, Bangalore Urba, Karnataka",HDFC Bank,"₹56,00,000",17/07/2025
62756,Residential Flat in Yeshwanthpura Hobli,"Yeshwanthpura Hobli, Bangalore Urba, Karnataka",HDFC Bank,"₹38,20,000",17/07/2025
62755,Flat in Anekal,"Anekal, Karnataka",HDFC Bank,"₹68,00,000",17/07/2025
62754,Residential Flat in Anekal,"Anekal, Karnataka",HDFC Bank,"₹16,00,000",17/07/2025
62752,Commercial Property in Anekal,"Anekal, Karnataka",HDFC Bank,"₹16,90,000",17/07/2025
62751,Flat in Kengeri Hobli,"Kengeri Hobli, Bangalore Urba, Karnataka",HDFC Bank,"₹40,40,000",17/07/2025
62540,"Land and Building in Kottaiyur, Virudhunagar","Virudhunagar, Tamil Nadu",Cholamandalam Investment and Finance Company,"₹35,21,930",17/07/2025
62539,"House in Velapadi, Vellore","Vellore, Tamil Nadu",Canara Bank,"₹15,20,000",17/07/2025
62536,"Land and Building in Muppathuvetti, Vellore","Vellore, Tamil Nadu",Canara Bank,"₹9,77,000",17/07/2025
62471,"Land and Building in Matlasamuthiram Kelmugam, Namakkal","Namakkal, Tamil Nadu",jana small finance,"₹7,30,500",17/07/2025
62474,"Land and Building in Bodinaickenpatti, Salem","Salem, Tamil Nadu",jana small finance,"₹27,66,000",17/07/2025
61689,"Land and Building in Paraiyathikulam, Madurai","Madurai, Tamil Nadu",Karur Vysya Bank,"₹42,00,000",17/07/2025
61948,Plot in Sangrur,"Sangrur, Punjab",UCO Bank,"₹18,84,000",17/07/2025
61988,"House in Periyathennal Village, Vellore","Vellore, Tamil Nadu",Canara Bank,"₹10,21,000",17/07/2025
61987,"Land and Building in Irumbedu Village, Tiruvannamalai","Vellore, Tamil Nadu",Canara Bank,"₹21,39,000",17/07/2025
61959,"Flat in Madavaram Village, Tiruvallur","Tiruvallur, Tamil Nadu",Canara Bank,"₹49,00,000",17/07/2025
24437,"Land and Building in Kizhvenbakkam Village, Vellore","Vellore, Tamil Nadu",Canara Bank,"₹30,44,000",17/07/2025
36668,"Land in Melvisharam village, Vellore","Vellore, Tamil Nadu",Canara Bank,"₹23,63,000",17/07/2025
37585,"Land in Vettavalam Village, Thiruvanmalai","Tiruvannamalai, Tamil Nadu",Debts Recovery Tribunal,"₹21,60,00,000",17/07/2025
56693,Land in South 24 Paraganas,"South 24 Parganas, West Bengal",Indian Bank,"₹18,02,000",17/07/2025
61786,"Land and Building in Keel Bhuvanagiri, Cuddalore","Cuddalore, Tamil Nadu",Karur Vysya Bank,"₹2,15,00,000",16/07/2025
61784,"Industrial Building in Mel Bhuvanagiri Village, Cuddalore","Cuddalore, Tamil Nadu",Karur Vysya Bank,"₹2,12,00,000",16/07/2025
61931,House for Sale,"Pargi Village, Vikarabad, Telangana",Cholamandalam Investment and Finance Company,"₹60,04,800",16/07/2025
61986,"Land in Kundadam, Tiruppur","Tirupur, Tamil Nadu",Canara Bank,"₹43,20,000",16/07/2025
62213,Land & Building in Erode,"Erode, Tamil Nadu",jana small finance,"₹46,50,000",16/07/2025
62214,Land and Building in Erode,"Erode, Tamil Nadu",jana small finance,"₹82,42,000",16/07/2025
61149,"Flat in Mugalivakkam, Kanchipuram","Kanchipuram, Tamil Nadu",Yes Bank,"₹44,10,000",16/07/2025
61055,"Land and Building in Usilampatti, Madurai","Madurai, Tamil Nadu",Yes Bank,"₹13,70,000",16/07/2025
61546,"Flat in Nemilichery, Thiruvallur","Tiruvallur, Tamil Nadu",Yes Bank,"₹18,10,000",16/07/2025
61553,"Plot in Sirukadal Village, Thiruvallur","Tiruvallur, Tamil Nadu",Yes Bank,"₹15,33,295",16/07/2025
61555,"Land and Building in Nandhiambakkam, Thiruvallur","Tiruvallur, Tamil Nadu",Yes Bank,"₹14,00,000",16/07/2025
61557,"Plot in Melakondaiyur Village, Thiruvallur","Tiruvallur, Tamil Nadu",Yes Bank,"₹16,28,810",16/07/2025
61594,"Plot in Pirattiyur, Tiruchirapalli","Tiruchirappalli, Tamil Nadu",Yes Bank,"₹18,55,000",16/07/2025
62592,Plot in Chikkamagaluru,"Chikkamagaluru, Karnataka",Canara Bank,"₹73,50,000",16/07/2025
62777,Residential Flat in Koramangala,"Koramangala, Bangalore Urba, Karnataka",Canara Bank,"₹92,01,775",16/07/2025
62791,Flat in Beguru Hobli,"Beguru Hobli, Bangalore Urba, Karnataka",Canara Bank,"₹1,17,40,000",16/07/2025
62795,Site in Yeshwanthpura Hobli,"Yeshwanthpura Hobli, Bangalore Urba, Karnataka",Canara Bank,"₹50,10,000",16/07/2025
60214,"Land and Building in Perambur, Chennai","Chennai, Tamil Nadu",Debts Recovery Tribunal,"₹90,00,000",16/07/2025
60484,"Land and Building in Kuthukkalvalasai Village, Tenkasi","Tenkasi, Tamil Nadu",Karur Vysya Bank,"₹1,06,00,000",15/07/2025
60460,"Land and Building in Tiruchengode, Namakkal","Namakkal, Tamil Nadu",Canara Bank,"₹19,50,000",15/07/2025
60416,"Land and Building in Singilipatti, Namakkal","Namakkal, Tamil Nadu",Canara Bank,"₹93,24,000",15/07/2025
60415,Land and Building in Namakkal,"Namakkal, Tamil Nadu",Canara Bank,"₹32,52,000",15/07/2025
57344,Plot in Bhamia Kalan,"Bhamia Kalan, Ludhiana, Punjab",Au small finance bank,"₹44,40,000",15/07/2025
58170,"Land in Shihori, Banaskanta","Banaskantha, Gujarat",Au small finance bank,"₹8,00,000",15/07/2025
58174,"Plot in Deodar, Banaskantha","Banaskantha, Gujarat",Au small finance bank,"₹4,50,000",15/07/2025
58205,"Land in Bhabhar, Banaskanta","Banaskantha, Gujarat",Au small finance bank,"₹11,75,000",15/07/2025
59193,Land in Sangrur,"Sangrur, Punjab",Au small finance bank,"₹5,75,000",15/07/2025
59194,Land in Ludhiana,"Ludhiana, Punjab",Au small finance bank,"₹19,00,000",15/07/2025
60783,Flat in Purulia,"Purulia, Kolkata, West Bengal",Debts Recovery Tribunal,"₹6,88,640",15/07/2025
60782,Flat in Purulia,"Purulia, Kolkata, West Bengal",Debts Recovery Tribunal,"₹9,04,178",15/07/2025
60785,Land in Purulia,"Purulia, Kolkata, West Bengal",Debts Recovery Tribunal,"₹5,36,250",15/07/2025
43530,"House in Alanganallur, Madurai","Madurai, Tamil Nadu",HomeFirst Finance,"₹21,48,237",15/07/2025
1359,"Plot in Sathanur, Tiruchirappalli","Tiruchirappalli, Tamil Nadu",Indian Bank,"₹94,10,000",15/07/2025
13136,"Land in Ariyamangalam, Tiruchirapalli","Trichirappalli, Tamil Nadu",Indian Bank,"₹94,10,000",15/07/2025
61058,"Land in Atchivilagam Village, Kancheepuram","Kanchipuram, Tamil Nadu",Debts Recovery Tribunal,"₹11,40,00,000",15/07/2025
61110,Land and Building for Sale,"Kalluvathukkal, Kollam, Kerala",Federal Bank,"₹56,00,000",15/07/2025
61114,Land and Building for Sale,"Kalluvathukkal, Kollam, Kerala",Federal Bank,"₹52,00,000",15/07/2025
61991,"Land and Building in Sivakasi, Virudhunagar","Virudhunagar, Tamil Nadu",Canara Bank,"₹53,80,000",15/07/2025
61734,"Land and Building in Arunthavapuram, Thanjavur","Thanjavur, Tamil Nadu",Debts Recovery Tribunal,"₹16,30,000",15/07/2025
61735,"Land in Arunthavapuram Village, Thanjavur","Thanjavur, Tamil Nadu",Debts Recovery Tribunal,"₹1,53,44,000",15/07/2025
61905,House in Churpur,"Churpur, Ludhiana, Punjab",IIFL Home Finance Limited,"₹2,01,20,001",15/07/2025
61925,House for Sale,"Zamistanpur, Hyderabad, Telangana",Canfin,"₹29,10,000",15/07/2025
61928,Flat for Sale,"Banjara Hills, Hyderabad, Telangana",Vardhaman bank,"₹51,00,000",15/07/2025
61944,Commercial Property in Kakowal,"Kakowal, Ludhiana, Punjab",Yes Bank,"₹60,75,000",15/07/2025
61991,"Land and Building in Sivakasi, Virudhunagar","Virudhunagar, Tamil Nadu",Canara Bank,"₹53,80,000",15/07/2025
62155,Plot in Dakshina Kannada,"Dakshina Kannada, Karnataka",PNB Housing Finance,"₹5,88,000",15/07/2025
62438,Flat in Beguru Hobli,"Beguru Hobli, Bangalore Urba, Karnataka",PNB Housing Finance,"₹75,00,000",15/07/2025
62441,Plot in Geddalahalli,"Geddalahalli, Bangalore Urba, Karnataka",PNB Housing Finance,"₹1,32,61,000",15/07/2025
62614,"Plot in Karamsad, Anand","Anand, Gujarat",Bank Of Baroda,"₹6,19,000",15/07/2025
61621,Land for Sale,"Madeenaguda, Ranga Reddy, Telangana",Debts Recovery Tribunal,"₹2,25,00,000",15/07/2025
61646,"Plot in Prashanthi Nagar, Chennai","Chennai, Tamil Nadu",PNB Housing Finance,"₹47,61,000",15/07/2025
61345,"Land and Building in Maruthur, Coimbatore","Coimbatore, Tamil Nadu",IDFC FIRST Bank,"₹34,92,040",14/07/2025
61392,"Factory Land and Building in Hosur, Krishnagiri","Krishnagiri, Tamil Nadu",jana small finance,"₹9,11,18,000",14/07/2025
61479,"Land and Building in Kakkottuthalai, Kanyakumari","Kanyakumari, Tamil Nadu",Canara Bank,"₹73,50,000",14/07/2025
61534,Flat in Howrah,"Howrah, West Bengal",Punjab National Bank,"₹35,44,000",14/07/2025
61536,Land and Building in South 24 Paraganas,"South 24 Parganas, West Bengal",Indian Bank,"₹34,42,000",14/07/2025
61538,"Plot in Poonamallee, Thiruvallur","Tiruvallur, Tamil Nadu",Repco Home Finance,"₹31,00,000",14/07/2025
61541,Factory Land and Building and Residential Land in North 24 Parganas,"North 24 Parganas, West Bengal",Punjab National Bank,"₹9,74,19,000",14/07/2025
61547,Flat in Sreebhumi,"Sreebhumi, Kolkata, West Bengal",Punjab National Bank,"₹1,37,70,000",14/07/2025
61575,"Land and Building in Nariyampalayam, Thanjavur","Thanjavur, Tamil Nadu",Asset Reconstruction Company India Ltd,"₹16,00,000",14/07/2025
61577,"Land in Neelagiri Therkkuthottam, Thanjavur","Thanjavur, Tamil Nadu",Asset Reconstruction Company India Ltd,"₹77,00,000",14/07/2025
61579,Land and Building in Thanjavur,"Thanjavur, Tamil Nadu",Asset Reconstruction Company India Ltd,"₹1,33,00,000",14/07/2025
61593,"Land and Building in Puliyur, Tiruchirapalli","Tiruchirappalli, Tamil Nadu",Canara Bank,"₹39,19,000",14/07/2025
61602,"Land in Thottipalayam, Tirupur","Tirupur, Tamil Nadu",City Union Bank,"₹3,61,00,000",14/07/2025
61620,Plot for Sale,"Dwaraka Tirumala Mandal, West Godavari, Andhra Pradesh",JM Financial Asset Reconstruction Company,"₹10,83,460",14/07/2025
61651,"Plot in Kavalore village, Thanjavur","Thanjavur, Tamil Nadu",Canara Bank,"₹26,65,000",14/07/2025
61756,"Plot in Agaram Village, Trichy","Tiruchirappalli, Tamil Nadu",Canara Bank,"₹95,00,000",14/07/2025
61881,Factory Land and Building and Residential Land in Meharban,"Meharban, Ludhiana, Punjab",Punjab National Bank,"₹5,90,00,000",14/07/2025
